,summary,Fossile Energie,Politik,Gesundheit,Armut,word
sicher euronews,2.8150238870280875,-0.13672546388348786,-0.45008479685558056,1.2567831403971832,-0.2920862388085742,sicher euronews
euronews die,4.038763272525376,-0.13196740526922734,-0.811052574123692,1.489049013404368,-0.6530540160766855,euronews die
Spannungen,4.016029816653155,-0.1900369560607148,0.18503955048035967,0.8162529305323386,-0.6474092984574508,Spannungen
die spannung,2.6240559019835596,-0.16391449282171824,-0.3798352246416648,1.2418255623951309,-0.22183666659465842,die spannung
Moskau,4.32207232200723,-0.21128801668893665,0.2869257111078633,0.698536733651449,-0.720850483033254,Moskau
spannung moskau,2.547001280085517,-0.17209470244114644,-0.35003074825995434,1.2273550264717552,-0.19203219021294787,spannung moskau
verschärfte,2.5178017533114665,-0.1747204917260148,-0.3385002503934,1.2204206226330545,-0.1805016923463934,verschärfte
moskau verschärft,2.5178017533114665,-0.1747204917260148,-0.3385002503934,1.2204206226330545,-0.1805016923463934,moskau verschärft
verschärft energiekrise,2.5063903272775048,-0.1643328585335061,-0.3339576511161394,1.1959453096354349,-0.17595909306913293,verschärft energiekrise
treibt,4.812709604219929,0.25445122328864517,-0.9863743024662343,0.5152421004252955,-0.8283757444192277,treibt
energiekrise treib,2.525277599109628,-0.1422399798761261,-0.3414650466029377,1.160151356288592,-0.1834664885559314,energiekrise treib
treib europa,3.09649315582361,-0.3435334748057537,-0.5453842807763699,1.6144559207612441,-0.38738572272936356,treib europa
anderswo,2.6165997365687685,-0.0863263860435259,-0.37698971409487575,1.077422348882008,-0.21899115604786928,anderswo
europa anderswo,2.6165997365687685,-0.0863263860435259,-0.37698971409487575,1.077422348882008,-0.21899115604786928,europa anderswo
neuen,5.691017662698485,0.20659649975028377,-0.44396734212614336,0.27724708689267696,-0.9960045748658117,neuen
anderswo neu,2.7484046396268806,-0.03456458367709285,-0.4261346619697481,1.0051155578357467,-0.26813610392274173,anderswo neu
Formen,2.8596401836026,-3.5693429998023017e-06,-0.46580985666503066,0.9561096190057488,-0.30781129861802425,Formen
neu form,2.8596401836026,-3.5693429998023017e-06,-0.46580985666503066,0.9561096190057488,-0.30781129861802425,neu form
form gasversorgung,3.848476492660355,0.05331278799759867,-0.7627914034684267,1.0928001685412836,-0.6047928454214202,form gasversorgung
umzusehen,2.77452758080029,-0.010783357355610338,-0.4355945412298424,0.9507071775655762,-0.277595983182836,umzusehen
gasversorgung umseh,2.77452758080029,-0.010783357355610338,-0.4355945412298424,0.9507071775655762,-0.277595983182836,gasversorgung umseh
Das,57.01522156581702,0.1055455788714374,-0.02150564017806226,-0.3019285089253908,-0.47273343046209076,Das
